stage_fluid,volume,sandrate,preratio,month,fiveyear
672.459028,7.510489754,171.0170653,74.4918056,15938163.75,784696400
715.0014134,7.115938395,172.5035429,83.00028267,14842876.25,735652000
533.9952535,4.932958306,164.5390462,46.7990507,24533517.5,1147427440
528.4651874,3.941614323,164.2098265,45.69303749,24950535,1155073040
710.185464,3.373536357,172.3442075,82.0370928,18474286.25,890839280
557.4915038,7.854834406,165.8650116,51.49830075,20830576.25,999033440
702.4896376,7.791809087,172.0850565,80.49792752,15173543.75,750771360
682.4854626,5.698176785,171.3840911,76.49709253,16406921.25,804764320
335.1648457,6.996529165,145.8754114,7.032969139,25970427.5,1191295040
603.9913963,4.220650043,168.1850343,60.79827926,21977807.5,1043606320
543.7818106,3.423312366,165.1052557,48.75636212,24243987.5,1126392400
624.2107071,4.289301603,169.0860112,64.84214141,22402415,1063867520
456.7628811,7.254406516,159.2194281,31.35257623,23910560,1120372720
666.9574505,7.796811504,170.8109868,73.39149011,16828256.25,823921760
633.8298597,7.844757493,169.4944643,66.76597193,16828256.25,823921760
738.9495122,4.850038096,173.2650232,87.78990243,17757626.25,863377440
366.3230893,7.706862247,150.1388449,13.26461786,14075446.25,699380320
681.1222571,7.745317174,171.3348245,76.22445141,24647385,1149993840
552.8506551,7.616807165,165.6120465,50.57013103,15711210,773676640
570.7120057,7.3537319,166.5630864,54.14240115,21733560,1036429040
634.0692243,4.05537315,169.5044702,66.81384485,21118967.5,1010393120
482.8272979,3.226991186,161.2049499,36.56545957,20816138.75,991835520
526.7903881,3.399922525,164.1087575,45.35807763,27373212.5,1242812640
631.546263,5.696446079,169.3986234,66.30925261,25564572.5,1182455200
636.2475761,3.920588371,169.5951843,67.24951522,19613090,946689520
629.0173339,7.822545857,169.291674,65.80346677,18432062.5,896375760
432.1540391,6.658115155,157.1249729,26.43080782,25385770,1178576880
358.0124475,4.828438239,149.0742573,11.6024895,27181295,1234310480
420.5697887,3.571366579,156.0541921,24.11395774,27716617.5,1257712640
661.5685602,6.476060242,170.6058065,72.31371204,17446375,850688320
562.279726,6.694360771,166.121633,52.45594521,22267005,1055256480
420.3441261,4.544807336,156.0327471,24.06882522,27407870,1246585520
429.9655203,4.444475109,156.9270995,25.99310407,26870895,1227543120
624.7023423,3.179139817,169.1071922,64.94046845,23020707.5,1076334960
443.4788188,4.501530818,158.1176947,28.69576377,25785957.5,1183729120
435.1747,7.899534432,157.3948145,27.03494,23544540,1105947280
345.1431088,5.70094549,147.3245388,9.028621757,26577617.5,1218432000
426.3241559,3.240509305,156.5933659,25.26483119,28634080,1290491920
653.3053143,7.765244572,170.2846114,70.66106286,17111686.25,837638880
588.1473337,4.961903418,167.4357287,57.62946673,22636967.5,1071945200
547.5581757,5.159253283,165.3183286,49.51163513,22858190,1078528800
520.1255632,5.167572345,163.7001071,44.02511264,24193845,1129190080
445.145582,6.702940257,158.2595378,29.02911639,25018670,1162266560
344.6357324,3.686847931,147.2528783,8.927146478,29158055,1302490880
707.1124966,7.353944853,172.2414042,81.42249932,14816367.5,732618720
337.4272979,4.354462936,146.2114971,7.485459589,28185262.5,1267047520
411.4820175,5.923282829,155.1719704,22.2964035,24923655,1156836080
337.9655306,5.85852134,146.2907886,7.593106122,26175987.5,1195110720
488.3928737,3.082545734,161.6014637,37.67857473,26796755,1220174400
667.4542727,7.885570341,170.8297364,73.49085454,16856036.25,825734000
301.5629304,5.6894758,140.290235,0.312586084,28744192.5,1291255440
677.2808615,7.90745507,171.1949288,75.45617229,16113043.75,792870880
368.8003447,4.88953446,150.4468972,13.76006894,26753572.5,1212709360
561.5226815,5.26601748,166.081351,52.3045363,22536350,1068004720
346.4695202,4.969893367,147.5108862,9.293904048,25256100,1162000800
731.1047009,5.255354621,173.0210751,86.22094019,14106511.25,700739520
787.209145,7.295669739,174.6587845,97.441829,14815735,736965840
703.7673363,5.770027862,172.1284744,80.75346726,16107212.5,790870160
629.7235469,5.983428174,169.3216265,65.94470939,19579686.25,946772960
482.4193479,5.797349158,161.1755261,36.48386958,23623157.5,1109247280
571.950095,5.013667725,166.6268079,54.39001901,22528657.5,1065087680
585.1563702,5.255120787,167.2897255,57.03127404,22075297.5,1048280080
709.2269729,3.823832099,172.3122376,81.84539458,17655455,853791840
726.5386162,4.528612626,172.8766592,85.30772324,14695692.5,725482720
676.376347,5.528612626,171.1617571,75.27526941,17817691.25,866856640
528.1023457,6.528612626,164.1879845,45.62046915,22484900,1062667680
603.4641045,7.528612626,168.1607302,60.6928209,19906165,957762080
314.322222,8.528612626,142.5516632,2.864444401,25592180,1176079040
545.3971046,9.528612626,165.1967562,49.07942092,20147152.5,969133840
595.4860539,10.52861263,167.7877524,59.09721078,18158957.5,885544400
383.4219161,13.52861263,152.1840383,16.68438323,22979825,1080949680
307.6488932,7.510489754,162.7144249,68.73011871,12774797.5,639662320
528.5368631,7.115938395,165.827019,41.03422419,25149605,1175265680
593.2130769,4.932958306,150.771545,93.60242459,12387103.75,622591920
336.143379,3.941614323,173.9003897,24.46700087,28098332.5,1260448080
506.579568,3.373536357,158.4947553,39.33960308,25421315,1174035120
538.1948402,6.392608329,173.2599827,97.13074581,11053608.75,559349800
726.759008,7.854834406,164.7866869,75.76451342,15998132.5,788395040
587.8759121,7.791809087,167.4291319,19.17412345,28529197.5,1312698480
323.2337628,7.271216975,156.1780967,50.77364665,18565842.5,896721040
713.0206267,5.698176785,168.4548297,58.60491706,22794955,1082063680
416.0712524,6.996529165,151.6866307,73.695695,12594378.75,632059520
760.0545212,5.863190739,146.4844031,13.15804153,33008957.5,1483742560
349.7341088,4.220650043,143.5309768,91.06093838,9917518.75,504146400
725.3755625,3.423312366,170.9485343,15.65597236,38834437.5,1676306720
544.8276267,4.289301603,167.8637156,90.61084596,14000882.5,695637200
404.5660232,7.254406516,148.8234069,35.06651999,21000125,999738080
407.4014215,5.696446079,174.0491592,5.453331737,28959865,1313049040
336.0412466,3.920588371,164.543762,71.94732917,15822881.25,772817280
408.1847866,7.822545857,150.7441883,4.106555024,28068827.5,1277283280
669.7208238,6.658115155,160.1746662,29.72139411,27400797.5,1270618800
718.8981541,4.828438239,173.6984625,46.57987811,26557837.5,1238148080
512.2536943,3.571366579,163.5703347,16.49707356,35005847.5,1530797600
323.6012851,6.82986765,144.0842606,14.5423995,23951842.5,1112860240
544.6945642,7.90745507,165.1570265,20.61298528,27565687.5,1270362960
484.801619,4.253902099,161.3466504,90.53717396,12973986.25,648165840
